search_innertext,search_attribute,Number_of_search_word,search_button_attribute_value,is_button,sClass,URL name
1,1,3,1,1,1,adenandanais/Babyfiles.html
1,0,0,1,0,0,adenandanais/Babyfiles.html
1,0,0,1,0,0,adenandanais/Babyfiles.html
1,0,0,0,0,0,adenandanais/Babyfiles.html
1,1,2,0,0,1,adidas/adidas Online Shop _ adidas US.html
1,0,0,1,0,0,aeropostale/Sites-aeropostale-Site.html
1,1,3,1,0,1,aeropostale/Sites-aeropostale-Site.html
1,0,1,1,0,0,aeropostale/Sites-aeropostale-Site.html
1,0,1,1,0,0,aeropostale/Sites-aeropostale-Site.html
1,1,1,0,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,1,2,1,0,1,airbnb/Illinois · Stays · Airbnb.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,0,0,1,0,0,aldoshoes/Search - shoes _ ALDO US.html
1,1,1,1,0,1,aldoshoes/Search - shoes _ ALDO US.html
1,1,4,1,0,1,Amazon/Amazon.com _ laptop stand.html
1,1,3,1,0,0,amextravel/American Express Hotels_ CHI - Search Results.html
1,1,1,1,1,1,amextravel/American Express Hotels_ CHI - Search Results.html
1,0,0,1,0,0,amextravel/American Express Hotels_ CHI - Search Results.html
1,1,1,1,0,1,artpal/Buy Vinci Art at ArtPal.html
1,1,3,1,1,1,asos/Marketplace.html
1,1,1,1,0,1,autoanything/Bumpers_AutoAnything.html
1,1,3,0,0,1,Avon/cream by Avon.html
1,1,2,0,0,1,bagborroworsteal/search _ Bag Borrow or Steal.html
1,1,3,1,0,1,barnesandnoble/comic.html
1,1,3,1,1,1,benetton/United Colors of Benetton - Official Site _ Online Shop.html
1,0,0,1,0,0,benetton/United Colors of Benetton - Official Site _ Online Shop.html
1,1,2,1,0,1,bestbuy/laptop - Best Buy.html
1,0,0,1,0,0,bestbuy/laptop - Best Buy.html
1,0,0,1,0,0,bestbuy/laptop - Best Buy.html
1,0,0,0,0,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,0,0,1,0,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,0,0,0,0,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,1,1,1,0,1,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,1,1,1,0,1,bettycrocker/Search Results - BettyCrocker.com.html
1,1,4,1,0,1,bhphotovideo/nikon.html
1,0,0,1,0,0,bhphotovideo/nikon.html
1,0,0,1,0,0,bhphotovideo/nikon.html
1,0,0,1,0,0,bhphotovideo/nikon.html
1,0,0,1,0,0,bhphotovideo/nikon.html
1,0,0,1,0,0,bhphotovideo/nikon.html
1,1,1,1,0,1,bigbasket/Best Online Grocery Store in India. Save Big on Grocery Shopping _ bigbasket.com.html
1,0,0,1,0,0,bigbasket/Best Online Grocery Store in India. Save Big on Grocery Shopping _ bigbasket.com.html
1,0,0,1,0,0,bigbasket/Best Online Grocery Store in India. Save Big on Grocery Shopping _ bigbasket.com.html
1,1,4,1,0,1,bigstockphoto/Creativity.html
1,1,3,1,0,1,bodenusa/Search.html
1,0,0,1,0,0,bodenusa/Search.html
1,1,2,0,0,0,bonanza/Buy executive office chair 199 items on Bonanza.html
1,0,1,1,0,0,bonanza/Buy executive office chair 199 items on Bonanza.html
1,1,2,1,0,1,bonanza/Buy executive office chair 199 items on Bonanza.html
