,URL name,sClass
473,nhc/Search results for _Vitamin_.html,0
239,fashionphile/Shop Pre owned Designer Handbags _ Used Designer Bags _ Fashionphile.html,0
275,freshdirect/FreshDirect - Search - onion.html,0
360,ihg/Select a Hotel.html,0
165,costco/Laptops.html,0
278,freshdirect/FreshDirect - Search - onion.html,0
21,aldoshoes/Search - shoes _ ALDO US.html,0
414,"momondo/Illinois, 11_8 — 11_9.html",0
749,tradesy/Womens Shoes.html,0
100,cdw/Search Results_ Showing results for ram _ CDW.html,0
572,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
417,mrandmrssmith/Boutique.html,0
66,bonanza/Buy executive office chair 199 items on Bonanza.html,0
260,freshdirect/FreshDirect - Search - onion.html,0
16,aldoshoes/Search - shoes _ ALDO US.html,0
457,nhc/Search results for _Vitamin_.html,0
716,tenthousandvillages/Search results for_table.html,0
440,neutrogena/Search Results _ Neutrogena®.html,0
435,neutrogena/Search Results _ Neutrogena®.html,0
495,nhc/Search results for _Vitamin_.html,0
687,tablethotels/Boutique.html,0
535,origins/Endeca - Search + Results _ Origins.html,0
432,neutrogena/Search Results _ Neutrogena®.html,0
157,coca-cola/Search results for_ BOTTLE OPENER _ Coca-Cola Store.html,0
192,departmentstoreliquidations/Department Store Liquidations. Wholesale Closeouts. Liquidation Overstock Merchandise..html,0
295,gamestop/mjolnir _ Search Results _ GameStop.html,0
48,bettycrocker/Search Results - BettyCrocker.com.html,0
426,neutrogena/Search Results _ Neutrogena®.html,0
532,"orbitz/Illinois, United States of America Hotel Search Results.html",0
564,premierinn/Search.html,0
169,costcotravel/Search - Packages _ Costco Travel.html,0
705,tenthousandvillages/Search results for_table.html,0
283,freshdirect/FreshDirect - Search - onion.html,0
108,cdw/Search Results_ Showing results for ram _ CDW.html,0
237,fandango/Movie Times and Movie Theaters in 23508 - Local Showtimes - Fandango _ Fandango.html,0
183,countrystore/Search results for_ Red wine.html,0
113,cdw/Search Results_ Showing results for ram _ CDW.html,0
460,nhc/Search results for _Vitamin_.html,0
110,cdw/Search Results_ Showing results for ram _ CDW.html,0
148,coca-cola/Search results for_ BOTTLE OPENER _ Coca-Cola Store.html,0
154,coca-cola/Search results for_ BOTTLE OPENER _ Coca-Cola Store.html,0
