search_innertext,search_attribute,Number_of_search_word,search_button_attribute_value,is_button,sClass
1,1,3,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,1,2,0,0,1
1,0,0,1,0,0
1,1,2,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,1,1,0,1
1,1,3,0,0,1
1,1,3,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,1,3,1,1,1
1,1,1,1,0,1
1,0,0,0,0,0
1,1,2,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,0,0,0,0,0
1,1,3,1,0,1
1,1,2,1,1,1
1,1,2,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,1,1,1,0,1
1,0,0,1,0,0
1,1,4,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,4,1,0,1
1,1,3,1,0,1
1,0,0,1,0,0
1,1,2,0,0,0
1,0,1,1,0,0
1,1,2,1,0,1
1,0,1,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,1,0,0,0
1,1,4,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,1,3,0,0,1
1,1,2,1,0,1
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,1,3,1,0,1
1,0,0,0,0,0
1,0,1,1,0,1
1,0,0,1,0,0
0,0,0,0,0,0
1,0,0,1,0,0
1,1,2,1,0,1
1,0,0,0,0,0
1,0,0,1,0,0
1,1,2,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,1,1,1,0,1
1,0,0,1,0,0
1,0,0,0,0,1
1,1,2,1,0,1
1,0,1,0,0,1
1,1,2,0,0,1
1,1,2,1,1,1
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,1,0,0
1,1,4,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,2,1,0,1
1,0,0,0,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,1,2,1,0,1
1,0,1,0,0,0
1,0,0,1,0,0
1,0,1,0,0,1
1,0,1,1,0,0
1,1,2,1,0,1
1,0,1,1,0,0
1,0,1,1,0,0
1,1,3,1,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,2,0,0,0
1,0,0,0,0,0
1,1,3,1,0,1
1,1,3,0,0,1
1,1,2,1,1,1
1,0,0,1,0,0
1,1,1,1,0,0
1,1,1,0,0,1
1,1,4,1,0,1
1,0,0,1,0,0
1,1,4,1,0,1
1,1,2,1,0,0
1,0,1,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,1,2,0,0,1
1,0,0,1,0,0
1,0,2,1,0,0
1,1,4,1,0,1
1,0,2,0,0,0
1,0,2,0,0,1
1,1,2,0,0,0
1,0,1,1,0,0
1,1,3,0,0,1
1,1,3,1,0,1
1,0,0,1,0,1
1,1,1,0,0,1
1,0,0,0,0,0
1,1,2,1,0,1
1,0,0,1,0,0
1,0,2,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,1,1,1,0,1
1,0,0,1,0,0
1,0,0,0,0,1
1,1,2,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4,0,0,0
1,1,6,0,0,1
1,1,3,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,1,1,1,0,1
1,0,0,1,0,0
1,0,0,0,0,1
1,1,3,1,0,1
1,1,2,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,1,0,0
1,1,4,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,1,3,0,0,1
1,1,3,1,0,1
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,1,3,1,0,1
1,1,2,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,4,1,0,1
1,0,0,0,0,0
1,0,0,1,0,0
1,1,3,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,3,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,1,2,1,1,1
1,1,1,1,0,1
1,0,0,1,0,0
1,1,1,0,0,0
1,1,3,1,0,1
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,1,2,0,0,1
1,1,3,1,0,1
1,0,1,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,3,1,0,1
1,0,0,1,0,0
1,1,3,0,0,1
1,1,1,1,1,1
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,1,3,1,0,1
1,0,0,0,0,0
1,0,2,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,1,4,1,0,1
0,0,0,0,0,0
1,1,2,1,0,1
1,1,3,1,0,1
1,1,2,1,0,0
1,0,1,0,0,1
1,0,0,1,0,0
1,1,2,1,1,1
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,1,3,1,1,1
1,0,0,0,0,0
1,1,3,0,0,1
1,0,0,0,0,0
1,1,2,1,0,1
1,1,2,0,0,1
1,1,2,1,0,1
1,1,1,1,0,0
1,0,0,1,0,0
1,1,3,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,1,3,1,0,1
1,1,3,1,1,1
1,1,2,1,0,1
1,0,1,0,0,0
1,0,0,1,0,0
1,1,4,1,0,1
1,0,0,1,0,0
1,1,2,1,0,1
1,0,1,1,0,0
1,1,1,0,0,0
1,0,0,1,0,0
1,1,1,1,0,1
1,0,0,0,0,0
1,0,3,1,0,1
1,0,1,1,0,0
1,0,1,1,0,0
1,0,1,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,1,2,1,0,1
1,0,0,1,0,0
1,0,0,0,0,0
1,1,3,1,0,1
1,0,1,1,0,0
1,0,4,1,0,0
1,0,0,0,0,0
1,0,1,1,0,0
1,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,3,1,1,1
1,0,0,1,0,0
1,0,1,0,0,0
1,1,3,1,0,1
1,1,3,1,0,1
1,0,0,0,0,0
1,0,1,1,0,0
1,1,2,1,0,1
1,0,0,1,0,0
1,0,0,1,0,0
1,1,2,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,1,3,1,0,1
1,0,1,1,0,1
1,0,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,1,3,1,1,1
1,1,2,1,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,1,3,1,0,1
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
