sort_inner,sort_attribute,option_tag_attribute_value,sortClass,name_url
1,0,4,0,adenandanais/Babyfiles.html
1,1,4,1,adenandanais/Babyfiles.html
1,0,4,0,adenandanais/Babyfiles.html
1,0,4,0,adenandanais/Babyfiles.html
1,0,10,0,adidas/adidas Online Shop _ adidas US.html
1,0,11,0,adidas/adidas Online Shop _ adidas US.html
1,0,11,0,adidas/adidas Online Shop _ adidas US.html
1,0,7,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,10,0,adidas/adidas Online Shop _ adidas US.html
1,0,11,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,5,0,adidas/adidas Online Shop _ adidas US.html
1,0,11,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,10,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,3,0,adidas/adidas Online Shop _ adidas US.html
1,0,8,0,adidas/adidas Online Shop _ adidas US.html
1,0,3,0,adidas/adidas Online Shop _ adidas US.html
1,0,3,0,adidas/adidas Online Shop _ adidas US.html
1,0,8,0,adidas/adidas Online Shop _ adidas US.html
1,0,11,0,adidas/adidas Online Shop _ adidas US.html
1,0,4,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,14,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,13,0,adidas/adidas Online Shop _ adidas US.html
1,0,13,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,3,0,adidas/adidas Online Shop _ adidas US.html
1,0,7,0,adidas/adidas Online Shop _ adidas US.html
1,0,17,0,adidas/adidas Online Shop _ adidas US.html
1,0,10,0,adidas/adidas Online Shop _ adidas US.html
1,0,5,0,adidas/adidas Online Shop _ adidas US.html
1,0,2,0,adidas/adidas Online Shop _ adidas US.html
1,0,28,0,adidas/adidas Online Shop _ adidas US.html
1,0,222,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,46,0,adidas/adidas Online Shop _ adidas US.html
1,0,20,0,adidas/adidas Online Shop _ adidas US.html
1,0,6,0,adidas/adidas Online Shop _ adidas US.html
1,0,7,0,adidas/adidas Online Shop _ adidas US.html
1,1,4,1,adidas/adidas Online Shop _ adidas US.html
1,0,74,0,adidas/adidas Online Shop _ adidas US.html
1,0,10,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,12,0,adidas/adidas Online Shop _ adidas US.html
1,0,14,0,adidas/adidas Online Shop _ adidas US.html
1,0,13,0,adidas/adidas Online Shop _ adidas US.html
1,0,140,0,aeropostale/Sites-aeropostale-Site.html
1,0,73,0,aeropostale/Sites-aeropostale-Site.html
1,1,4,1,aeropostale/Sites-aeropostale-Site.html
0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,airbnb/Illinois · Stays · Airbnb.html
1,1,4,1,aldoshoes/Search - shoes _ ALDO US.html
1,0,59,0,Amazon/Amazon.com _ laptop stand.html
1,1,5,1,Amazon/Amazon.com _ laptop stand.html
0,0,0,0,amextravel/American Express Hotels_ CHI - Search Results.html
0,0,0,0,artpal/Buy Vinci Art at ArtPal.html
1,0,3,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,1,0,asos/Marketplace.html
1,0,7,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,0,32,0,asos/Marketplace.html
1,0,24,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,0,1,0,asos/Marketplace.html
1,0,17,0,asos/Marketplace.html
1,0,8,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,33,0,asos/Marketplace.html
1,0,20,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,21,0,asos/Marketplace.html
1,0,10,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,22,0,asos/Marketplace.html
1,0,12,0,asos/Marketplace.html
1,0,5,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,29,0,asos/Marketplace.html
1,0,11,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,30,0,asos/Marketplace.html
1,0,11,0,asos/Marketplace.html
1,0,11,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,34,0,asos/Marketplace.html
1,0,27,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,35,0,asos/Marketplace.html
1,0,25,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,0,3,0,asos/Marketplace.html
1,0,5,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,0,31,0,asos/Marketplace.html
1,0,25,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,1,0,asos/Marketplace.html
1,0,13,0,asos/Marketplace.html
1,0,8,0,asos/Marketplace.html
1,0,3,0,asos/Marketplace.html
1,0,33,0,asos/Marketplace.html
1,0,22,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,20,0,asos/Marketplace.html
1,0,9,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,22,0,asos/Marketplace.html
1,0,11,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,28,0,asos/Marketplace.html
1,0,10,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,6,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,28,0,asos/Marketplace.html
1,0,9,0,asos/Marketplace.html
1,0,11,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,29,0,asos/Marketplace.html
1,0,22,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,2,0,asos/Marketplace.html
1,0,40,0,asos/Marketplace.html
1,0,22,0,asos/Marketplace.html
1,0,12,0,asos/Marketplace.html
1,0,3,0,asos/Marketplace.html
1,0,5,0,asos/Marketplace.html
1,0,4,0,asos/Marketplace.html
1,1,10,1,asos/Marketplace.html
1,0,0,0,asos/Marketplace.html
1,0,3,0,asos/Marketplace.html
1,0,109,0,autoanything/Bumpers_AutoAnything.html
1,0,1,0,autoanything/Bumpers_AutoAnything.html
1,0,1,0,autoanything/Bumpers_AutoAnything.html
1,0,3,0,autoanything/Bumpers_AutoAnything.html
1,1,6,1,autoanything/Bumpers_AutoAnything.html
1,1,4,1,Avon/cream by Avon.html
1,0,5,0,Avon/cream by Avon.html
0,0,0,0,bagborroworsteal/search _ Bag Borrow or Steal.html
1,0,14,0,barnesandnoble/comic.html
1,0,5,0,barnesandnoble/comic.html
1,0,8,0,barnesandnoble/comic.html
1,0,4,0,barnesandnoble/comic.html
1,0,13,0,barnesandnoble/comic.html
1,0,13,0,barnesandnoble/comic.html
1,0,5,0,barnesandnoble/comic.html
1,0,5,0,barnesandnoble/comic.html
1,0,2,0,barnesandnoble/comic.html
1,1,8,1,barnesandnoble/comic.html
1,0,7,0,barnesandnoble/comic.html
1,0,4,0,barnesandnoble/comic.html
1,0,9,0,barnesandnoble/comic.html
1,0,6,0,barnesandnoble/comic.html
1,0,7,0,barnesandnoble/comic.html
1,0,2,0,barnesandnoble/comic.html
1,0,8,0,barnesandnoble/comic.html
1,0,3,0,barnesandnoble/comic.html
1,0,6,0,barnesandnoble/comic.html
1,0,4,0,barnesandnoble/comic.html
1,0,2,0,barnesandnoble/comic.html
1,0,1,0,barnesandnoble/comic.html
1,0,1,0,barnesandnoble/comic.html
0,0,0,0,benetton/United Colors of Benetton - Official Site _ Online Shop.html
1,1,8,1,bestbuy/laptop - Best Buy.html
1,0,7,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,0,7,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,0,7,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,0,7,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
1,0,0,0,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html
