,name_url,sortClass
938,costcotravel/Search - Packages _ Costco Travel.html,0
1380,"getaroom/Illingen, DE Hotels_ Cheap Rooms for Hotels in Illingen, DE at getaroom.html",0
2600,preownedweddingdresses/Search.html,0
2289,"oodle/_car_ _ Cars for Sale in Norfolk, Virginia _ Used Cars on Oodle Classifieds.html",0
2069,officedepot/table - Office Depot.html,0
2879,sellcell/Sell Apple iPhone 12 Pro _ Trade In iPhone 12 Pro.html,0
3346,spalding/Sporting.html,0
3909,toofaced/Search _ TooFaced.html,0
2895,sellcell/Sell Apple iPhone 12 Pro _ Trade In iPhone 12 Pro.html,0
2749,puma/Search Result_ shoes.html,0
1865,microcenter/Laptops_Notebooks _ Micro Center.html,0
1088,discovery/SHORTS _ Discovery Store.html,0
2537,poshmark/Nike for Women - Poshmark.html,0
3818,thellegance/Online shopping for Digital Watches with free worldwide shipping.html,0
1767,marriott/Search Results.html,0
837,cartier/Search Results.html,0
1096,discovery/SHORTS _ Discovery Store.html,0
1624,indiger/Pickles.html,0
1020,dickssportinggoods/Search Results.html,0
2519,poshmark/Nike for Women - Poshmark.html,0
2945,shopbeergear/Shop Beer Gear.html,0
1555,hotwire/Hotels.html,0
2334,petsmart/Search Results _ PetSmart.html,0
765,cartier/Search Results.html,0
2272,onlinesports/Search results for_ball_OnlineSports.com.html,0
3764,tablethotels/Boutique.html,0
121,asos/Marketplace.html,0
3276,shopjustice/Justice _ Justice.html,0
3330,spalding/Sporting.html,0
1122,doverpublications/Search.html,0
2810,riteaid/riteaid.html,0
1098,discovery/SHORTS _ Discovery Store.html,0
3688,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
725,"canstockphoto/Cry Stock Photo Images. 113,363 Cry royalty free pictures and photos available to download from thousands of stock photographers..html",0
1327,freedigitalphotos/Eggs Pictures - Free Images of Eggs - Royalty Free Photos.html,0
2991,shopdisney/shopDisney _ shopDisney.html,0
474,bodenusa/Search.html,0
3715,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
2677,pruvo/Pruvo – Book your hotel - Hotels in Chicago.html,0
1586,hrs/HRS – HOTEL RESERVATION SERVICE LTD. - Chicago (Illinois).html,0
2990,shopdisney/shopDisney _ shopDisney.html,0
2185,officedepot/table - Office Depot.html,0
384,bodenusa/Search.html,0
4017,wyndhamhotels/Search.html,0
926,costcotravel/Search - Packages _ Costco Travel.html,0
2224,officesupplynow/OfficeSupplyNow.com - The Trimmer Place.html,0
2011,microcenter/Laptops_Notebooks _ Micro Center.html,0
2544,poshmark/Nike for Women - Poshmark.html,0
2931,shopbeergear/Shop Beer Gear.html,0
3954,usps/Shipping Supplies _ USPS.com.html,0
2282,"oodle/_car_ _ Cars for Sale in Norfolk, Virginia _ Used Cars on Oodle Classifieds.html",0
2966,shopdisney/shopDisney _ shopDisney.html,0
3412,sykescottages/Search and Find a Cottage in UK and Ireland _ Sykes Cottages.html,0
3323,shopzilla/Shopzilla - Jacket.html,0
2670,pruvo/Pruvo – Book your hotel - Hotels in Chicago.html,0
2131,officedepot/table - Office Depot.html,0
3531,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
2605,pruvo/Pruvo – Book your hotel - Hotels in Chicago.html,0
1602,hrs/HRS – HOTEL RESERVATION SERVICE LTD. - Chicago (Illinois).html,0
3460,sykescottages/Search and Find a Cottage in UK and Ireland _ Sykes Cottages.html,0
1942,microcenter/Laptops_Notebooks _ Micro Center.html,0
1033,dickssportinggoods/Search Results.html,0
217,besttravelcoupon/BestTravelCoupon.com - Hotels in Chicago.html,0
2473,petsmart/Search Results _ PetSmart.html,0
637,bodenusa/Search.html,0
3521,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
731,cartier/Search Results.html,0
1813,microcenter/Laptops_Notebooks _ Micro Center.html,0
2978,shopdisney/shopDisney _ shopDisney.html,0
3075,shopdisney/shopDisney _ shopDisney.html,0
552,bodenusa/Search.html,0
2854,safeway/Search Results _ Safeway.html,0
3463,sykescottages/Search and Find a Cottage in UK and Ireland _ Sykes Cottages.html,0
2211,officedepot/table - Office Depot.html,0
307,bettycrocker/Search Results - BettyCrocker.com.html,0
1731,laterooms/LateRooms.com _ Hotels in Manchester . Book your hotel now!.html,0
3964,usps/Shipping Supplies _ USPS.com.html,0
1838,microcenter/Laptops_Notebooks _ Micro Center.html,0
3709,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
516,bodenusa/Search.html,0
1775,marriott/Search Results.html,0
3048,shopdisney/shopDisney _ shopDisney.html,0
1510,hopper/Hopper.html,0
2034,officedepot/table - Office Depot.html,0
2918,sellcell/Sell Apple iPhone 12 Pro _ Trade In iPhone 12 Pro.html,0
1593,hrs/HRS – HOTEL RESERVATION SERVICE LTD. - Chicago (Illinois).html,0
2846,safeway/Search Results _ Safeway.html,0
3575,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
146,asos/Marketplace.html,0
1645,jcpenney/shoes - JCPenney.html,0
1274,fnp/Send Roses _ Buy Roses Online _ Online Roses Delivery - Ferns N Petals.html,0
3155,shopjustice/Justice _ Justice.html,0
1163,fnp/Send Roses _ Buy Roses Online _ Online Roses Delivery - Ferns N Petals.html,0
3316,shopjustice/Justice _ Justice.html,0
1727,laterooms/LateRooms.com _ Hotels in Manchester . Book your hotel now!.html,0
